order_id,customer_id,date,product,category,price,quantity,discount,total_value,payment_method,channel,status,customer_type,gender,city,state,region,shipping_days,rating,is_returning
ORD100056,CUST1069,2025-01-01,Teclado Mecânico,Eletrônicos,327.39,2,0.0,654.78,Cartão de Crédito,Site,Cancelado,Recorrente,,Rio de Janeiro,RJ,Sudeste,14,4.0,False
ORD100017,CUST1059,2025-01-02,Cadeira Office,Móveis,841.49,1,0.1,757.34,Cartão de Crédito,Aplicativo,Entregue,Recorrente,Feminino,Fortaleza,CE,Nordeste,5,5.0,True
ORD100251,CUST1017,2025-01-03,Monitor 27,Eletrônicos,1534.5,2,0.15,2608.65,Cartão de Débito,Aplicativo,Em transporte,Recorrente,Feminino,Porto Alegre,RS,Sul,12,5.0,True
ORD100063,CUST1074,2025-01-04,Fone Bluetooth,Eletrônicos,274.86,2,0.1,494.75,Boleto,Aplicativo,Entregue,Recorrente,Feminino,Salvador,BA,Nordeste,14,3.0,False
ORD100040,CUST1193,2025-01-05,Chocolate,Alimentos,26.61,1,0.0,26.61,Cartão de Crédito,Site,Entregue,Recorrente,Não informado,Salvador,BA,Nordeste,8,4.0,False
ORD100047,CUST1108,2025-01-05,Teclado Mecânico,Eletrônicos,380.29,1,0.0,380.29,Boleto,Site,Entregue,Recorrente,Feminino,Recife,PE,Nordeste,2,5.0,True
ORD100172,CUST1010,2025-01-10,Smartphone X,Eletrônicos,3035.37,2,,5160.13,Boleto,Site,Em transporte,Recorrente,Masculino,Curitiba,PR,Sul,7,3.0,False
ORD100277,CUST1138,2025-01-10,Cadeira Office,Móveis,858.42,1,0.05,815.5,Pix,Site,Entregue,Novo,Não informado,Fortaleza,CE,Nordeste,9,3.0,False
ORD100164,CUST1064,2025-01-13,Teclado Mecânico,Eletrônicos,328.28,4,0.0,1313.12,Cartão de Crédito,Aplicativo,Cancelado,Recorrente,Feminino,Fortaleza,CE,Nordeste,5,3.0,True
ORD100128,CUST1171,2025-01-14,Notebook Pro 15,Eletrônicos,4543.59,1,0.1,4089.23,Pix,Aplicativo,Entregue,Recorrente,Feminino,Belo Horizonte,MG,Sudeste,5,2.0,False
ORD100276,CUST1038,2025-01-16,Chocolate,Alimentos,27.5,3,0.05,78.38,Cartão de Débito,Aplicativo,Em transporte,Novo,Masculino,Recife,PE,Nordeste,5,3.0,False
ORD100092,CUST1039,2025-01-17,Smartphone X,Eletrônicos,2579.7,1,0.0,2579.7,Cartão de Crédito,Site,Entregue,Novo,Não informado,Recife,PE,Nordeste,8,4.0,True
ORD100126,CUST1107,2025-01-20,Livro,Livros,71.8,2,0.1,129.24,Cartão de Débito,Aplicativo,Em transporte,Novo,Não informado,Fortaleza,CE,Nordeste,9,4.0,False
ORD100020,CUST1175,2025-01-22,Monitor 27,Eletrônicos,1650.44,4,0.05,6271.67,Pix,Aplicativo,Entregue,Recorrente,Masculino,Salvador,BA,Nordeste,13,4.0,False
ORD100224,CUST1062,2025-01-23,Jaqueta,Roupas,300.02,1,0.05,285.02,Cartão de Débito,Marketplace,Entregue,Recorrente,Masculino,Rio de Janeiro,RJ,Sudeste,11,5.0,False
ORD100248,CUST1160,2025-01-24,Tênis Esportivo,Roupas,408.54,2,0.15,694.52,Cartão de Débito,Marketplace,Cancelado,Novo,Não informado,Porto Alegre,RS,Sul,9,4.0,True
ORD100159,CUST1116,2025-01-25,Monitor 27,Eletrônicos,1704.06,1,0.0,1704.06,Boleto,Site,Cancelado,Recorrente,Feminino,Belo Horizonte,MG,Sudeste,15,4.0,False
ORD100212,CUST1146,2025-01-26,Jaqueta,Roupas,295.34,2,0.2,472.54,Cartão de Débito,Site,Entregue,Recorrente,Feminino,Curitiba,PR,Sul,3,4.0,False
ORD100059,CUST1118,2025-01-28,Camiseta,Roupas,90.59,1,0.2,72.47,Pix,Marketplace,Entregue,Novo,Feminino,Rio de Janeiro,RJ,Sudeste,7,3.0,False
ORD100087,CUST1153,2025-01-29,Mochila,Acessórios,226.38,1,0.2,181.1,Cartão de Crédito,Aplicativo,Em transporte,Recorrente,Feminino,Porto Alegre,RS,Sul,11,5.0,False
ORD100250,CUST1099,2025-01-31,Mochila,Acessórios,216.33,1,0.15,183.88,Pix,Site,Cancelado,Novo,Masculino,Porto Alegre,RS,Sul,11,5.0,False
ORD100255,CUST1152,2025-02-02,Camiseta,Roupas,85.78,1,0.15,72.91,Boleto,Aplicativo,Cancelado,Recorrente,Feminino,Recife,PE,Nordeste,14,5.0,False
ORD100084,CUST1146,2025-02-05,Cadeira Office,Móveis,814.78,4,0.15,2770.25,Cartão de Crédito,Aplicativo,Cancelado,Recorrente,Feminino,São Paulo,SP,Sudeste,15,5.0,True
ORD100205,CUST1141,2025-02-08,Mouse Gamer,Eletrônicos,172.94,1,0.0,172.94,Cartão de Crédito,Marketplace,Em transporte,Recorrente,Feminino,Brasília,DF,Centro-Oeste,15,,False
ORD100221,CUST1120,2025-02-08,Café Especial,Alimentos,41.75,3,0.0,125.25,Cartão de Débito,Marketplace,Entregue,Recorrente,Masculino,Fortaleza,CE,Nordeste,11,5.0,False
ORD100144,CUST1073,2025-02-08,Tênis Esportivo,Roupas,351.36,3,0.05,1001.38,Cartão de Crédito,Marketplace,Em transporte,Recorrente,Não informado,Recife,PE,Nordeste,8,5.0,True
ORD100105,CUST1008,2025-02-09,Jaqueta,Roupas,299.72,1,0.0,299.72,Cartão de Crédito,Site,Entregue,Recorrente,Não informado,Recife,PE,Nordeste,2,,False
ORD100220,CUST1142,2025-02-10,Fone Bluetooth,Eletrônicos,228.55,2,0.0,457.1,Boleto,Aplicativo,Entregue,Recorrente,Feminino,Salvador,BA,Nordeste,9,5.0,False
ORD100166,CUST1165,2025-02-11,Smartphone X,Eletrônicos,2863.89,1,0.0,2863.89,Cartão de Crédito,Aplicativo,Cancelado,Novo,Feminino,Salvador,BA,Nordeste,9,3.0,False
ORD100282,CUST1079,2025-02-12,Camiseta,Roupas,90.95,2,0.2,145.52,Pix,Site,Em transporte,Recorrente,Não informado,Curitiba,PR,Sul,4,5.0,True
ORD100265,CUST1085,2025-02-13,Cadeira Office,Móveis,911.72,1,0.1,820.55,Cartão de Crédito,Site,Cancelado,Recorrente,Feminino,São Paulo,SP,Sudeste,12,5.0,True
